english,czech
about,o 
accident,nehoda
activity,činnost pro zábavu
actor,herec
address,adresa
adult,dospělý
afternoon  ,odpoledne
against  ,v dotyku s něčím
age  ,"stáří, věk"
air  ,vzduch
alligator  ,aligátor
alone  ,"sám, sama"
always  ,vždy
American  ,americký
American football  ,americký fotbal
angrily  ,naštvaně
angry  ,naštvaný
announcement  ,prohlášení
answer  ,odpověď
apartheid  ,apartheid  
apartment building  ,činžovní dům
apple  ,jablko
April  ,duben
Are you sure?,Víš to jistě?
arm  ,paže
armchair  ,křeslo
around  ,okolo
arrive  ,"přijet, přiletět"
ask  ,"ptát se, zeptat se"
at  ,"na, v "
attraction  ,atrakce
August  ,srpen
aunt  ,teta
Australian  ,australský
autograph  ,autogram
autumn  ,podzim
awful  ,hnusný
babysit  ,hlídat děti
bad  ,špatný
bag  ,taška
ball  ,míč
balloon  ,balónek
banana  ,banán
band  ,hudební skupina
bank  ,banka
basketball  ,košíková
bath  ,vana
bathroom  ,koupelna
be  ,být
be  ,být
be  ,být
be  ,být
beach  ,pláž
beat  ,"porazit, zvítězit"
beat  ,"bít, tlouct"
beautiful  ,nádherný
become  ,stát se něčím
bed  ,postel
bedroom  ,ložnice
beef  ,hovězí maso
begin  ,začít
behind  ,"vzadu, dozadu"
beige  ,béžový
Belgian  ,belgický
Belgium  ,Belgie
best friend  ,nejlepší kamarád
better  ,lepší
between  ,mezi (dvěma)
bicycle  ,jízdní kolo
big  ,velký
bigger  ,větší
bike  ,jízdní kolo
biology  ,biologie
birthday  ,narozeniny
black  ,černý
blonde  ,blonďatý
blood  ,krev
blue  ,modrý
board  ,"prkno, deska"
boat  ,člun
book  ,kniha
bookshop  ,knihkupectví
bored  ,znuděný
boring  ,nudný
boyfriend  ,"kluk, se kterým dívka chodí"
Brazil  ,Brazílie
Brazilian  ,brazilský
bread  ,chléb
break  ,rozbít
breakfast  ,snídaně
bring  ,přinést
Britain  ,Británie
British  ,britský
brother  ,bratr
brown  ,hnědý
budgie  ,andulka
building  ,budova
burger  ,karbanátek
bus  ,autobus
busier  ,zaneprázdněnější
busy  ,zaneprázdněný
buy  ,koupit
café,kavárna
call  ,telefonovat
Calm down!,Uklidni se!
camel  ,velbloud
camp  ,tábor
can  ,"umět, moci"
Can I have a look?,Můžu se podívat?
Canada  ,Kanada
canoe  ,kánoe
capital  ,hlavní město
captain  ,kapitán
car  ,automobil
card  ,karta
careful  ,opatrný
carefully  ,opatrně
carnival  ,karneval
carrot  ,mrkev
cartoon  ,kreslený film
casino  ,kasino
cassette  ,kazeta
castle  ,hrad
cat  ,kočka
catch  ,chytit
cathedral  ,katedrála
CD  ,CD
cerebral palsy  ,mozková obrna
chair  ,židle
change  ,"změnit, vyměnit"
chat show  ,beseda
cheap  ,"laciný, levný"
check  ,zkontrolovat
cheese  ,sýr
chef  ,kuchař
chemist  ,lékárník
chicken  ,"kuře, kuřecí maso"
children  ,děti
chimpanzee  ,šimpanz 
China  ,Čína 
Chinese  ,čínský 
chips  ,hranolky
chocolate  ,čokoláda 
Christmas  ,Vánoce 
cinema  ,kino
city  ,město
